subject,idna_subject,expiration_date,epoch
1mp.mobi,1mp.mobi,15-apr-2021,1618444800.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
1x1rank.com,1x1rank.com,09-jun-2021,1623196800.0
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0
24s.ru,24s.ru,15-mar-2021,1615766400.0
360in.com,360in.com,16-jan-2021,1610755200.0
3cinteractive.com,3cinteractive.com,01-apr-2021,1617235200.0
3gl.net,3gl.net,22-dec-2021,1640131200.0
4dsply.com,4dsply.com,10-apr-2021,1618012800.0
4mads.com,4mads.com,08-jul-2021,1625702400.0
4seeresults.com,4seeresults.com,13-jul-2023,1689206400.0
8live.com,8live.com,13-apr-2022,1649808000.0
a2dfp.net,a2dfp.net,01-apr-2022,1648771200.0
a8.net,a8.net,24-sep-2021,1632441600.0
a9.com,a9.com,07-sep-2024,1725667200.0
aarki.com,aarki.com,24-jun-2021,1624492800.0
acento.com,acento.com,25-aug-2024,1724544000.0
acsseo.com,acsseo.com,26-jan-2021,1611619200.0
actionpay.ru,actionpay.ru,07-apr-2021,1617753600.0
actionteaser.ru,actionteaser.ru,28-aug-2021,1630108800.0
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0
ad-maven.com,ad-maven.com,07-dec-2022,1670371200.0
ad-stir.com,ad-stir.com,11-aug-2021,1628640000.0
ad-sys.com,ad-sys.com,08-may-2022,1651968000.0
ad-x.co.uk,ad-x.co.uk,28-feb-2021,1614470400.0
ad120m.com,ad120m.com,13-jun-2021,1623542400.0
ad127m.com,ad127m.com,13-jun-2021,1623542400.0
ad2games.com,ad2games.com,26-jun-2021,1624665600.0
ad4.com.cn,ad4.com.cn,16-mar-2021,1615852800.0
ad4push.com,ad4push.com,07-nov-2023,1699315200.0
ad6media.fr,ad6media.fr,20-apr-2021,1618876800.0
adasiaholdings.com,adasiaholdings.com,06-dec-2021,1638748800.0
adblade.com,adblade.com,30-oct-2021,1635552000.0
adbn.ru,adbn.ru,29-may-2021,1622246400.0
adboost.net,adboost.net,25-apr-2021,1619308800.0
adbooth.com,adbooth.com,11-apr-2024,1712793600.0
adbro.me,adbro.me,06-sep-2021,1630886400.0
adcast.ru,adcast.ru,03-apr-2021,1617408000.0
adcloud.net,adcloud.net,23-jan-2021,1611360000.0
adcome.cn,adcome.cn,22-jul-2021,1626912000.0
