idna_subject,checker_type,destination,source,tested_at,session_id
localhost,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:26.754721,945cebaf5e457cb1fb80a929
pr.analytics.console.aws.a2z.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:26.821525,945cebaf5e457cb1fb80a929
prod.pr.analytics.console.aws.a2z.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:26.823180,945cebaf5e457cb1fb80a929
pw.analytics.console.aws.a2z.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:26.831672,945cebaf5e457cb1fb80a929
prod.pw.analytics.console.aws.a2z.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:26.833433,945cebaf5e457cb1fb80a929
apps.ad-x.co.uk,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.007811,945cebaf5e457cb1fb80a929
halo.ad.gt,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.014124,945cebaf5e457cb1fb80a929
sdk.adbuddiz.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.171802,945cebaf5e457cb1fb80a929
tools.adcolony.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.263997,945cebaf5e457cb1fb80a929
folder.adfuture.cn,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.540956,945cebaf5e457cb1fb80a929
fotacontrol.adfuture.cn,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.551976,945cebaf5e457cb1fb80a929
dcs.adgear.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:36:27.579965,945cebaf5e457cb1fb80a929
scdown.qq.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:44:14.028674,945cebaf5e457cb1fb80a929
tajs.qq.com,AVAILABILITY,origin.list,/home/runner/work/adaway.github.io_git_AdAway/adaway.github.io_git_AdAway/origin.list,2001-01-19 12:44:14.162662,945cebaf5e457cb1fb80a929
