# Generated by PyFunceble (v4.1.0b17.dev) / https://git.io/vpZoI
# Date of generation: 2022-03-07T06:04:38.272964

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
GoDaddy.com, LLC               38%          12          
MarkMonitor Inc.               12%          4           
Gandi SAS                      9%           3           
Amazon Registrar, Inc.         6%           2           
DYNADOT, LLC                   6%           2           
NameCheap, Inc.                6%           2           
1API GmbH                      3%           1           
CloudFlare, Inc.               3%           1           
IONOS SE                       3%           1           
Instra Corporation Pty Ltd.    3%           1           
NETIM sarl                     3%           1           
OVH sas                        3%           1           
Whois Corp.                    3%           1           
